Age [Days];2.5 % Percentile;97.5 % Percentile 
5533;0.41;0.8
5541;0.41;0.8
5571;0.41;0.8
5589;0.41;0.8
5594;0.41;0.8
5596;0.41;0.81
5602;0.41;0.81
5647;0.41;0.81
5669;0.42;0.81
5670;0.42;0.81
5672;0.42;0.81
5692;0.42;0.82
5700;0.42;0.82
5735;0.42;0.82
5739;0.42;0.82
5753;0.42;0.82
5772;0.42;0.82
5789;0.42;0.83
5807;0.42;0.83
5860;0.42;0.83
5869;0.42;0.83
5874;0.42;0.83
5884;0.42;0.83
5886;0.42;0.84
5913;0.42;0.84
5942;0.42;0.84
5945;0.43;0.84
5965;0.43;0.84
5967;0.43;0.84
5982;0.43;0.85
6010;0.43;0.85
6020;0.43;0.85
6038;0.43;0.85
6059;0.43;0.85
6074;0.43;0.85
6077;0.43;0.85
6079;0.43;0.86
6127;0.43;0.86
6145;0.43;0.86
6152;0.43;0.86
6175;0.43;0.87
6181;0.43;0.87
6196;0.43;0.87
6213;0.43;0.87
6234;0.43;0.87
6245;0.43;0.87
6254;0.44;0.87
6271;0.44;0.88
6281;0.44;0.88
6288;0.44;0.88
6337;0.44;0.88
6341;0.44;0.88
6349;0.44;0.88
6356;0.44;0.88
6366;0.44;0.89
6395;0.44;0.89
6417;0.44;0.89
6430;0.44;0.89
6449;0.44;0.89
6461;0.44;0.9
6484;0.44;0.9
6502;0.44;0.9
6516;0.44;0.9
6522;0.44;0.9
6552;0.44;0.9
6556;0.44;0.91
